date,nav,scheme_name,scheme_code
21-12-2017,66.46990,HDFC_Top100_Direct,125497
20-12-2017,65.87820,HDFC_Top100_Direct,125497
19-12-2017,65.22960,HDFC_Top100_Direct,125497
18-12-2017,63.86940,HDFC_Top100_Direct,125497
15-12-2017,63.32380,HDFC_Top100_Direct,125497
14-12-2017,62.78410,HDFC_Top100_Direct,125497
13-12-2017,62.80650,HDFC_Top100_Direct,125497
12-12-2017,63.38790,HDFC_Top100_Direct,125497
11-12-2017,63.63180,HDFC_Top100_Direct,125497
08-12-2017,62.84360,HDFC_Top100_Direct,125497
07-12-2017,61.99160,HDFC_Top100_Direct,125497
06-12-2017,61.46330,HDFC_Top100_Direct,125497
05-12-2017,61.51050,HDFC_Top100_Direct,125497
04-12-2017,61.31770,HDFC_Top100_Direct,125497
01-12-2017,61.49890,HDFC_Top100_Direct,125497
30-11-2017,61.95290,HDFC_Top100_Direct,125497
29-11-2017,61.93300,HDFC_Top100_Direct,125497
28-11-2017,61.83210,HDFC_Top100_Direct,125497
27-11-2017,61.27620,HDFC_Top100_Direct,125497
24-11-2017,61.08750,HDFC_Top100_Direct,125497
23-11-2017,60.54080,HDFC_Top100_Direct,125497
22-11-2017,60.06910,HDFC_Top100_Direct,125497
21-11-2017,59.66670,HDFC_Top100_Direct,125497
20-11-2017,59.20670,HDFC_Top100_Direct,125497
17-11-2017,58.64860,HDFC_Top100_Direct,125497
16-11-2017,58.08290,HDFC_Top100_Direct,125497
15-11-2017,57.26890,HDFC_Top100_Direct,125497
14-11-2017,57.90630,HDFC_Top100_Direct,125497
13-11-2017,57.81860,HDFC_Top100_Direct,125497
10-11-2017,57.78980,HDFC_Top100_Direct,125497
09-11-2017,58.08040,HDFC_Top100_Direct,125497
08-11-2017,57.23730,HDFC_Top100_Direct,125497
07-11-2017,57.57580,HDFC_Top100_Direct,125497
06-11-2017,57.86980,HDFC_Top100_Direct,125497
03-11-2017,57.57920,HDFC_Top100_Direct,125497
02-11-2017,56.68750,HDFC_Top100_Direct,125497
01-11-2017,55.87530,HDFC_Top100_Direct,125497
31-10-2017,55.41710,HDFC_Top100_Direct,125497
30-10-2017,55.09440,HDFC_Top100_Direct,125497
27-10-2017,54.52320,HDFC_Top100_Direct,125497
26-10-2017,54.12880,HDFC_Top100_Direct,125497
25-10-2017,53.98480,HDFC_Top100_Direct,125497
24-10-2017,54.51460,HDFC_Top100_Direct,125497
23-10-2017,54.34240,HDFC_Top100_Direct,125497
18-10-2017,54.42440,HDFC_Top100_Direct,125497
17-10-2017,54.53880,HDFC_Top100_Direct,125497
16-10-2017,54.21140,HDFC_Top100_Direct,125497
13-10-2017,54.17170,HDFC_Top100_Direct,125497
12-10-2017,53.99710,HDFC_Top100_Direct,125497
11-10-2017,53.67800,HDFC_Top100_Direct,125497
10-10-2017,54.35800,HDFC_Top100_Direct,125497
09-10-2017,53.97160,HDFC_Top100_Direct,125497
06-10-2017,53.81250,HDFC_Top100_Direct,125497
05-10-2017,53.44760,HDFC_Top100_Direct,125497
04-10-2017,53.23950,HDFC_Top100_Direct,125497
03-10-2017,52.32130,HDFC_Top100_Direct,125497
29-09-2017,51.96100,HDFC_Top100_Direct,125497
28-09-2017,51.23620,HDFC_Top100_Direct,125497
27-09-2017,50.83200,HDFC_Top100_Direct,125497
26-09-2017,51.67840,HDFC_Top100_Direct,125497
25-09-2017,51.05010,HDFC_Top100_Direct,125497
22-09-2017,51.59950,HDFC_Top100_Direct,125497
21-09-2017,53.30410,HDFC_Top100_Direct,125497
20-09-2017,53.36020,HDFC_Top100_Direct,125497
19-09-2017,52.96860,HDFC_Top100_Direct,125497
18-09-2017,52.38040,HDFC_Top100_Direct,125497
15-09-2017,51.75180,HDFC_Top100_Direct,125497
14-09-2017,51.31820,HDFC_Top100_Direct,125497
13-09-2017,50.69650,HDFC_Top100_Direct,125497
12-09-2017,51.08520,HDFC_Top100_Direct,125497
11-09-2017,50.76960,HDFC_Top100_Direct,125497
08-09-2017,50.54810,HDFC_Top100_Direct,125497
07-09-2017,50.47900,HDFC_Top100_Direct,125497
06-09-2017,50.29490,HDFC_Top100_Direct,125497
05-09-2017,50.08830,HDFC_Top100_Direct,125497
04-09-2017,49.58880,HDFC_Top100_Direct,125497
01-09-2017,49.64480,HDFC_Top100_Direct,125497
31-08-2017,49.14820,HDFC_Top100_Direct,125497
30-08-2017,48.48610,HDFC_Top100_Direct,125497
29-08-2017,48.13840,HDFC_Top100_Direct,125497
28-08-2017,48.53920,HDFC_Top100_Direct,125497
24-08-2017,48.24800,HDFC_Top100_Direct,125497
23-08-2017,48.19170,HDFC_Top100_Direct,125497
22-08-2017,47.91540,HDFC_Top100_Direct,125497
21-08-2017,47.71790,HDFC_Top100_Direct,125497
18-08-2017,48.38330,HDFC_Top100_Direct,125497
17-08-2017,48.70340,HDFC_Top100_Direct,125497
16-08-2017,48.32250,HDFC_Top100_Direct,125497
14-08-2017,47.73700,HDFC_Top100_Direct,125497
11-08-2017,46.93310,HDFC_Top100_Direct,125497
10-08-2017,46.60040,HDFC_Top100_Direct,125497
09-08-2017,47.65330,HDFC_Top100_Direct,125497
08-08-2017,48.14000,HDFC_Top100_Direct,125497
07-08-2017,48.57160,HDFC_Top100_Direct,125497
04-08-2017,48.15070,HDFC_Top100_Direct,125497
03-08-2017,48.03550,HDFC_Top100_Direct,125497
02-08-2017,48.43400,HDFC_Top100_Direct,125497
01-08-2017,48.81850,HDFC_Top100_Direct,125497
31-07-2017,48.65370,HDFC_Top100_Direct,125497
28-07-2017,48.58110,HDFC_Top100_Direct,125497
27-07-2017,48.15890,HDFC_Top100_Direct,125497
26-07-2017,48.46630,HDFC_Top100_Direct,125497
25-07-2017,48.26630,HDFC_Top100_Direct,125497
24-07-2017,48.24890,HDFC_Top100_Direct,125497
21-07-2017,48.26290,HDFC_Top100_Direct,125497
20-07-2017,48.43080,HDFC_Top100_Direct,125497
19-07-2017,48.23220,HDFC_Top100_Direct,125497
18-07-2017,47.94290,HDFC_Top100_Direct,125497
17-07-2017,47.97000,HDFC_Top100_Direct,125497
14-07-2017,47.79040,HDFC_Top100_Direct,125497
13-07-2017,48.24030,HDFC_Top100_Direct,125497
12-07-2017,47.98100,HDFC_Top100_Direct,125497
11-07-2017,47.89990,HDFC_Top100_Direct,125497
10-07-2017,47.75710,HDFC_Top100_Direct,125497
07-07-2017,47.66890,HDFC_Top100_Direct,125497
06-07-2017,47.60480,HDFC_Top100_Direct,125497
05-07-2017,47.60570,HDFC_Top100_Direct,125497
04-07-2017,47.30410,HDFC_Top100_Direct,125497
03-07-2017,47.08640,HDFC_Top100_Direct,125497
30-06-2017,46.34840,HDFC_Top100_Direct,125497
29-06-2017,46.17690,HDFC_Top100_Direct,125497
28-06-2017,45.71990,HDFC_Top100_Direct,125497
27-06-2017,46.09490,HDFC_Top100_Direct,125497
23-06-2017,46.41260,HDFC_Top100_Direct,125497
22-06-2017,46.95420,HDFC_Top100_Direct,125497
21-06-2017,46.80160,HDFC_Top100_Direct,125497
20-06-2017,46.62470,HDFC_Top100_Direct,125497
19-06-2017,46.49240,HDFC_Top100_Direct,125497
16-06-2017,46.27990,HDFC_Top100_Direct,125497
15-06-2017,46.12150,HDFC_Top100_Direct,125497
14-06-2017,45.78990,HDFC_Top100_Direct,125497
13-06-2017,45.76000,HDFC_Top100_Direct,125497
12-06-2017,45.64260,HDFC_Top100_Direct,125497
09-06-2017,45.39980,HDFC_Top100_Direct,125497
08-06-2017,45.36660,HDFC_Top100_Direct,125497
07-06-2017,45.22290,HDFC_Top100_Direct,125497
06-06-2017,44.89320,HDFC_Top100_Direct,125497
05-06-2017,45.12000,HDFC_Top100_Direct,125497
02-06-2017,44.86930,HDFC_Top100_Direct,125497
01-06-2017,44.59200,HDFC_Top100_Direct,125497
31-05-2017,44.56770,HDFC_Top100_Direct,125497
30-05-2017,44.21410,HDFC_Top100_Direct,125497
29-05-2017,44.42950,HDFC_Top100_Direct,125497
26-05-2017,44.85990,HDFC_Top100_Direct,125497
25-05-2017,44.22570,HDFC_Top100_Direct,125497
24-05-2017,43.34840,HDFC_Top100_Direct,125497
23-05-2017,44.02490,HDFC_Top100_Direct,125497
22-05-2017,44.86600,HDFC_Top100_Direct,125497
19-05-2017,45.24310,HDFC_Top100_Direct,125497
18-05-2017,45.58920,HDFC_Top100_Direct,125497
17-05-2017,45.80480,HDFC_Top100_Direct,125497
16-05-2017,45.68600,HDFC_Top100_Direct,125497
15-05-2017,45.60240,HDFC_Top100_Direct,125497
12-05-2017,45.11860,HDFC_Top100_Direct,125497
11-05-2017,45.57280,HDFC_Top100_Direct,125497
10-05-2017,45.83310,HDFC_Top100_Direct,125497
09-05-2017,45.46960,HDFC_Top100_Direct,125497
08-05-2017,45.25130,HDFC_Top100_Direct,125497
05-05-2017,44.95030,HDFC_Top100_Direct,125497
04-05-2017,45.06970,HDFC_Top100_Direct,125497
03-05-2017,44.87410,HDFC_Top100_Direct,125497
02-05-2017,44.87760,HDFC_Top100_Direct,125497
28-04-2017,44.99680,HDFC_Top100_Direct,125497
27-04-2017,44.96400,HDFC_Top100_Direct,125497
26-04-2017,44.69340,HDFC_Top100_Direct,125497
25-04-2017,45.29740,HDFC_Top100_Direct,125497
24-04-2017,45.27120,HDFC_Top100_Direct,125497
21-04-2017,44.99580,HDFC_Top100_Direct,125497
20-04-2017,45.00120,HDFC_Top100_Direct,125497
19-04-2017,44.60320,HDFC_Top100_Direct,125497
18-04-2017,44.56120,HDFC_Top100_Direct,125497
17-04-2017,44.96190,HDFC_Top100_Direct,125497
13-04-2017,44.78000,HDFC_Top100_Direct,125497
12-04-2017,44.84620,HDFC_Top100_Direct,125497
11-04-2017,45.01130,HDFC_Top100_Direct,125497
10-04-2017,44.70750,HDFC_Top100_Direct,125497
07-04-2017,44.34250,HDFC_Top100_Direct,125497
06-04-2017,44.69780,HDFC_Top100_Direct,125497
05-04-2017,44.59420,HDFC_Top100_Direct,125497
03-04-2017,43.28630,HDFC_Top100_Direct,125497
31-03-2017,42.78840,HDFC_Top100_Direct,125497
30-03-2017,42.69100,HDFC_Top100_Direct,125497
29-03-2017,42.35730,HDFC_Top100_Direct,125497
28-03-2017,42.34970,HDFC_Top100_Direct,125497
27-03-2017,42.26590,HDFC_Top100_Direct,125497
24-03-2017,42.22840,HDFC_Top100_Direct,125497
23-03-2017,42.17190,HDFC_Top100_Direct,125497
22-03-2017,42.00260,HDFC_Top100_Direct,125497
21-03-2017,42.14560,HDFC_Top100_Direct,125497
20-03-2017,42.24000,HDFC_Top100_Direct,125497
17-03-2017,41.97770,HDFC_Top100_Direct,125497
16-03-2017,41.81890,HDFC_Top100_Direct,125497
15-03-2017,41.30270,HDFC_Top100_Direct,125497
14-03-2017,41.30400,HDFC_Top100_Direct,125497
10-03-2017,40.98160,HDFC_Top100_Direct,125497
09-03-2017,41.07320,HDFC_Top100_Direct,125497
08-03-2017,41.00060,HDFC_Top100_Direct,125497
07-03-2017,41.07030,HDFC_Top100_Direct,125497
06-03-2017,40.96560,HDFC_Top100_Direct,125497
03-03-2017,40.94170,HDFC_Top100_Direct,125497
02-03-2017,40.77130,HDFC_Top100_Direct,125497
01-03-2017,41.24220,HDFC_Top100_Direct,125497
28-02-2017,40.90080,HDFC_Top100_Direct,125497
27-02-2017,40.76850,HDFC_Top100_Direct,125497
23-02-2017,41.03000,HDFC_Top100_Direct,125497
22-02-2017,40.99460,HDFC_Top100_Direct,125497
21-02-2017,41.22540,HDFC_Top100_Direct,125497
20-02-2017,41.12510,HDFC_Top100_Direct,125497
17-02-2017,40.83730,HDFC_Top100_Direct,125497
16-02-2017,40.82380,HDFC_Top100_Direct,125497
15-02-2017,40.36280,HDFC_Top100_Direct,125497
14-02-2017,41.09170,HDFC_Top100_Direct,125497
13-02-2017,41.26570,HDFC_Top100_Direct,125497
10-02-2017,41.29940,HDFC_Top100_Direct,125497
09-02-2017,40.99090,HDFC_Top100_Direct,125497
08-02-2017,40.95860,HDFC_Top100_Direct,125497
07-02-2017,40.92430,HDFC_Top100_Direct,125497
06-02-2017,40.72070,HDFC_Top100_Direct,125497
03-02-2017,40.32050,HDFC_Top100_Direct,125497
02-02-2017,39.61380,HDFC_Top100_Direct,125497
01-02-2017,39.53250,HDFC_Top100_Direct,125497
31-01-2017,39.18620,HDFC_Top100_Direct,125497
30-01-2017,39.31440,HDFC_Top100_Direct,125497
27-01-2017,39.57650,HDFC_Top100_Direct,125497
25-01-2017,39.31390,HDFC_Top100_Direct,125497
24-01-2017,39.19810,HDFC_Top100_Direct,125497
23-01-2017,38.76860,HDFC_Top100_Direct,125497
20-01-2017,38.61060,HDFC_Top100_Direct,125497
19-01-2017,38.97910,HDFC_Top100_Direct,125497
18-01-2017,38.85080,HDFC_Top100_Direct,125497
17-01-2017,38.55110,HDFC_Top100_Direct,125497
16-01-2017,38.37450,HDFC_Top100_Direct,125497
